cid,datahead,dataurl,creator,contributor,corp
1,  【統計情報】みたかの統計  【三鷹市】　三鷹市統計データ集の掲載データです。 ,/dataset/t132047d0000000002,三鷹市,企画部企画経営課統計係,三鷹市 企画部企画経営課統計係
2,  【統計情報】将来人口推計  【三鷹市】三鷹市の将来人口推計の一覧データです。 ,/dataset/t132047d0000000020,三鷹市,企画部企画経営課統計係,三鷹市 企画部企画経営課統計係
3,  【統計情報】町丁別・年齢別人口報告書  【三鷹市】各月１日現在の町丁別かつ年齢別人口のデータです。 ,/dataset/t132047d0000000008,三鷹市,市民部市民課庶務・年金係 庶務担当,三鷹市 市民部市民課庶務・年金係 庶務担当
4,  【統計情報】年齢別人口報告書  【三鷹市】各月１日現在の年齢別人口のデータです。 ,/dataset/t132047d0000000007,三鷹市,市民部市民課庶務・年金係 庶務担当,三鷹市 市民部市民課庶務・年金係 庶務担当
5,  【統計情報】町丁別世帯数及び人口報告書  【三鷹市】各月１日現在の町丁別世帯数及び人口のデータです。 ,/dataset/t132047d0000000006,三鷹市,市民部市民課庶務・年金係 庶務担当,三鷹市 市民部市民課庶務・年金係 庶務担当
6,  【統計情報】住民基本台帳からみた三鷹市の人口  【三鷹市】住民基本台帳からみた三鷹市の人口の掲載データです。 ,/dataset/t132047d0000000005,三鷹市,市民部市民課庶務・年金係 庶務担当,三鷹市 市民部市民課庶務・年金係 庶務担当
7,  浸水予想区域図  【東京都建設局】東京都では、都民の皆様に大雨による水害の危険性をご理解頂き、事前の備えや避難に役立てていただくため、大雨が降った場合に浸水が予想される区域を表示した浸水予想区域図を作成しています。 浸水予想区域図は、東京都が管理する全河川（島しょ除く）を対象に、東京都を１４区域に分けて、 ■大雨が降った際に危険な場所（浸水の予想される区域）... ,/dataset/t000014d0000000029,東京都建設局,河川部計画課,東京都建設局 河川部計画課
8,  防災井戸  【練馬区】防災井戸の名称と住所の一覧です。 ,/dataset/t131202d0000000027,練馬区,危機管理室防災計画課,練馬区 危機管理室防災計画課
9,  学校防災井戸  【練馬区】学校防災井戸の所在地の一覧です。 ,/dataset/t131202d0000000028,練馬区,危機管理室防災計画課,練馬区 危機管理室防災計画課
10,  市内の施設に関すること  【稲城市】 ,/dataset/t132250d0000000045,稲城市,企画政策課、子育て支援課、総務契約課、防災課、経済課,稲城市 企画政策課、子育て支援課、総務契約課、防災課、経済課
11,  避難所（震災対応）  【北区】北区の避難所（震災対応）の一覧です。 ,/dataset/t131172d0000000005,北区,危機管理室防災・危機管理課,北区 危機管理室防災・危機管理課
12,  土のうステーション  【文京区】　文京区の土のうステーションの一覧です。 ,/dataset/t131059d0509030001,文京区,土木部道路課,文京区 土木部道路課
13,  緊急避難場所・避難所  【文京区】　文京区の避難所・緊急避難場所の一覧です。 ,/dataset/t131059d0502060001,文京区,総務部防災課,文京区 総務部防災課
14,  避難所・避難場所・一時集合場所一覧  渋谷区の避難所・避難場所・一時集合場所一覧の情報です。 ,/dataset/t131130d0000000019,渋谷区,危機管理対策部防災課,渋谷区 危機管理対策部防災課
15,  災害時要援護者への災害対策推進のための指針（区市町村向け）  【東京都福祉局】 ,/dataset/t000054d0000000088,東京都福祉局,総務部総務課庶務担当,東京都福祉局 総務部総務課庶務担当
16,  地震がくる前に子どものためにできること  【東京都福祉局】新潟県中越地震の体験談等を活用した、妊婦と乳幼児の保護者向けの防災パンフレットを作成しました。 ,/dataset/t000054d0000000065,東京都福祉局,子供・子育て支援部家庭支援課母子保健担当,東京都福祉局 子供・子育て支援部家庭支援課母子保健担当
17,  都内区市町村の妊婦・乳幼児に関連した防災対策調査結果  【東京都福祉局】 ,/dataset/t000054d0000000064,東京都福祉局,子供・子育て支援部家庭支援課母子保健担当,東京都福祉局 子供・子育て支援部家庭支援課母子保健担当
18,  リコール・社告品及び同一製品から多発している火災事例  【東京消防庁】 ,/dataset/t000017d1700000056,東京消防庁,予防部調査課,東京消防庁 予防部調査課
19,  【市政情報全般】三鷹を考える論点データ集  三鷹市を考える論点データ集の掲載データです。 ,/dataset/t132047d0000000017,三鷹市,企画部企画経営課企画調整係,三鷹市 企画部企画経営課企画調整係
20,  東京消防庁救急相談センター協力医療機関証の交付医療機関  【東京消防庁】 ,/dataset/t000017d1700000052,東京消防庁,救急部救急医務課,東京消防庁 救急部救急医務課
21,  特別区の消防団協力事業所表示証交付事業所一覧  【東京消防庁】 ,/dataset/t000017d1700000054,東京消防庁,防災部消防団課,東京消防庁 防災部消防団課
22,  東京消防庁認定患者等搬送事業者一覧  【東京消防庁】 ,/dataset/t000017d1700000034,東京消防庁,,東京消防庁 
23,  救命講習受講優良証交付事業所等行政区別一覧  【東京消防庁】 ,/dataset/t000017d1700000030,東京消防庁,,東京消防庁 
24,  防火対象物適合表示制度　表示基準適合防火対象物一覧表  【東京消防庁】防火対象物適合表示制度における表示基準適合防火対象物の一覧 ,/dataset/t000017d0000000011,東京消防庁,予防部査察課,東京消防庁 予防部査察課
25,  認定優良防火対象物一覧表  【東京消防庁】優良防火対象物として認定されている防火対象物の一覧 ,/dataset/t000017d0000000010,東京消防庁,予防部査察課,東京消防庁 予防部査察課
26,  東京消防庁 消火栓及び防火水槽等  東京消防庁マップ及び東京消防庁公式アプリの消防マップに掲載している東京消防庁管内の消火栓及び防火水槽等の位置情報です。(令和5年4月1日現在)　※表示された位置と実際の位置に多少の差異がある場合があります。 ,/dataset/t000017d0000000007,東京消防庁,防災部水利課,東京消防庁 防災部水利課
27,  東京消防庁　本部及び消防署所在一覧  【東京消防庁】　東京消防庁の本部庁舎、消防方面本部及び消防署の所在及び電話番号一覧 ,/dataset/t000017d0000000001,東京消防庁,企画調整部企画課,東京消防庁 企画調整部企画課
28,  救急搬送データからみる日常生活の事故（令和２年）  【東京消防庁】東京消防庁管内における令和２年中の救急搬送データからみる日常生活事故の実態をまとめたものです。 ,/dataset/t000017d0000000012,東京消防庁,防災部防災安全課,東京消防庁 防災部防災安全課
29,  救急搬送データからみる日常生活の事故（令和３年）  【東京消防庁】東京消防庁管内における令和３年中の救急搬送データからみる日常生活事故の実態をまとめたものです。 ,/dataset/t000017d1700000061,東京消防庁,防災部防災安全課,東京消防庁 防災部防災安全課
30,  防災に関する都民の意識調査（令和４年度）  今後の都の防災対策を検討する上での参考とするため、都民、外国人及び地域の防災に対する意識及び現在の取組状況について、調査を実施した結果です。 ,/dataset/t000003d0000000589,東京都総務局,総務局総合防災部防災管理課,東京都総務局 総務局総合防災部防災管理課
31,  東京都防災マップ 避難所・避難場所一覧データ  【東京都総務局】東京都防災マップ( https://map.bosai.metro.tokyo.lg.jp/index.html )に掲載している避難所、避難場所の一覧です。なお、本情報は、原則として令和3年4月1日基準での情報です。 データ利用に当たっては、東京都提供の「避難所、避難場所データ オープンデータ」を利用していることを表示してください。... ,/dataset/t000003d0000000093,東京都総務局,東京都総務局総合防災部防災計画課,東京都総務局 東京都総務局総合防災部防災計画課
32,  東京都　新型コロナウイルス感染症　支援情報  「東京都 新型コロナウイルス感染症 支援情報ナビ」(https://covid19.supportnavi.metro.tokyo.lg.jp/)で掲載している東京都の支援情報データです。 ※掲載時点の情報であり、「東京都 新型コロナウイルス感染症 支援情報ナビ」で公開中の最新情報と一部内容が異なる場合があります。... ,/dataset/t000001d0000000005,東京都政策企画局,政策企画局戦略広報部広報広聴課,東京都政策企画局 政策企画局戦略広報部広報広聴課
33,  避難所、一時避難場所、集合場所一覧（地区別）  【大田区】各自治会・町会毎に指定されている避難所、一時避難場所、集合場所の一覧です。 ,/dataset/t131113d0000000010,大田区,大田区総務部防災危機管理課,大田区 大田区総務部防災危機管理課
34,  避難所一覧（住所別）  【大田区】各自治会・町会毎に指定されている避難所の一覧です。 ,/dataset/t131113d0000000009,大田区,大田区総務部防災危機管理課,大田区 大田区総務部防災危機管理課
35,  河川カメラ  【杉並区】 ,/dataset/t131156d0000000107,杉並区,都市整備部土木計画課,杉並区 都市整備部土木計画課
36,  わが家の水害ハザードマップ  【杉並区】 ,/dataset/t131156d0000000106,杉並区,都市整備部土木計画課,杉並区 都市整備部土木計画課
37,  防災マップ  【杉並区】 ,/dataset/t131156d0000000105,杉並区,危機管理室防災課,杉並区 危機管理室防災課
38,  不燃化に関する助成制度  【杉並区】 ,/dataset/t131156d0000000029,杉並区,都市整備部建築課,杉並区 都市整備部建築課
39,  地盤高  【杉並区】 ,/dataset/t131156d0000000025,杉並区,都市整備部土木管理課,杉並区 都市整備部土木管理課
40,  街頭消火器一覧  【大田区】街頭に設置している消火器の設置場所一覧です。 ,/dataset/t131113d0000000033,大田区,大田区総務部 防災危機管理課,大田区 大田区総務部 防災危機管理課
41,  消防水利施設一覧  【江東区】消防水利施設一覧です。 ,/dataset/t131083d0000000029,江東区,防災課,江東区 防災課
42,  耐震補強設計マニュアル  【東京都交通局】耐震補強設計マニュアル ,/dataset/t000018d0000000019,東京都交通局,都営交通お客様センター,東京都交通局 都営交通お客様センター
43,  東京の消防白書2022  【東京消防庁】東京の消防白書2022に係るCSVデータです。 ,/dataset/t000017d1700000058,東京消防庁,企画調整部企画課,東京消防庁 企画調整部企画課
44,"  ヒヤリハットマップ情報  ヒヤリハット地点、負傷事故地点、死亡事故地点の情報(zip形式で4形式(dbf,pri,shp,shx)1セットでの公開) ",/dataset/t131091d0000000116,品川区,防災まちづくり部土木管理課,品川区 防災まちづくり部土木管理課
45,  防災無線設置場所一覧  渋谷区の防災無線設置場所一覧の情報です。 ,/dataset/t131130d0000000024,渋谷区,危機管理対策部防災課,渋谷区 危機管理対策部防災課
46,  公衆無線LANアクセスポイント一覧  渋谷区の公衆無線LANアクセスポイント一覧の情報です。 ,/dataset/t131130d0000000022,渋谷区,危機管理対策部防災課,渋谷区 危機管理対策部防災課
47,  消火器設置一覧  渋谷区の消火器設置一覧の情報です。 ,/dataset/t131130d0000000021,渋谷区,危機管理対策部防災課,渋谷区 危機管理対策部防災課
48,  帰宅困難者受入施設一覧  渋谷区の帰宅困難者受入施設一覧の情報です。 ,/dataset/t131130d0000000020,渋谷区,危機管理対策部防災課,渋谷区 危機管理対策部防災課
49,  災害時給水ステーション  【練馬区】震災等により断水した際に、水を配るための施設の一覧です。 ,/dataset/t131202d0000000026,練馬区,危機管理室防災計画課,練馬区 危機管理室防災計画課
50,  避難所一覧  【昭島市】昭島市の避難所の一覧です。 ,/dataset/t132071d0000000004,昭島市,昭島市総務部防災課,昭島市 昭島市総務部防災課
51,  火災等出動回数の状況  【狛江市】令和３年度版「統計こまえ」に掲載されている各年12月31日現在の火災等出動回数の状況です。 （注意事項） ・消防署には、本署及び猪方出張所があり、分団は６箇所ある。 ・誤報、いたずら等は、消防署の出動ではその他に、消防団の出動では火災として集計。 ・消防団の出動回数は、消防団全体の延出動回数である。 ・管外出動は含まない。 ・PA連携 ：... ,/dataset/t132195d0000000006,狛江市,狛江市総務部安心安全課,狛江市 狛江市総務部安心安全課
52,  消防車両等保有の状況  【狛江市】令和３年度版「統計こまえ」に掲載されている各年12月31日現在の消防車両等保有の状況です。 （注意事項） 消防水利は消防署資料に基づく。 ,/dataset/t132195d0000000007,狛江市,狛江市総務部安心安全課,狛江市 狛江市総務部安心安全課
53,  【位置情報】公衆無線LANアクセスポイント一覧  【三鷹市】公衆無線LANアクセスポイントの一覧データです。 ,/dataset/t132047d0000000018,三鷹市,企画部情報推進課,三鷹市 企画部情報推進課
54,  【位置情報】防災関連施設・防災資器材情報  【三鷹市】三鷹市わがまちマップに掲載している防災関連施設・防災資器材のデータです。 ,/dataset/t132047d0000000003,三鷹市,総務部防災課,三鷹市 総務部防災課
55,  【位置情報】公共施設の位置情報  【三鷹市】　三鷹市わがまちマップに掲載されている公共施設の位置（ポイント）のデータです。 ,/dataset/t132047d0000000001,三鷹市,企画部情報推進課,三鷹市 企画部情報推進課
56,  大震災発生時における交通行動等の調査結果  【警視庁】　別紙2「大震災発生時における交通行動等の調査結果」参照内の表CSVファイル11種 ,/dataset/t000022d1700000006,警視庁,交通規制課,警視庁 交通規制課
57,  河川監視カメラ位置情報データ  【東京都建設局】建設局では、水防活動や迅速な避難行動につながる河川の状況をわかりやすく確実に提供するため、河川監視カメラを設置しています。カメラより得られた映像は、東京都水防災総合情報システム（https://www.kasen-suibo.metro.tokyo.lg.jp/im/uryosuii/tsim0102g.html... ,/dataset/t000014d0000000028,東京都建設局,建設局河川部防災課,東京都建設局 建設局河川部防災課
58,  地域危険度に関するパンフレット  【東京都都市整備局】地域危険度に関するパンフレットです。 ,/dataset/t000008d0000000024,東京都都市整備局,市街地整備部 防災都市づくり課,東京都都市整備局 市街地整備部 防災都市づくり課
59,  地震に関する地域危険度測定調査（第9回）地域危険度一覧（令和4年9月公表）  【東京都都市整備局】　地震に関する地域危険度測定調査（第9回）における危険度の一覧です。 ,/dataset/t000008d0000000012,東京都都市整備局,市街地整備部 防災都市づくり課,東京都都市整備局 市街地整備部 防災都市づくり課
60,  避難場所等に関するパンフレット  このデータセットには説明がありません ,/dataset/t000008d0000000025,東京都都市整備局,市街地整備部防災都市づくり課,東京都都市整備局 市街地整備部防災都市づくり課
61,  指定緊急避難場所一覧  豊島区が公開しているデータ（オープンデータ）をご覧いただけます。 ,/dataset/t131164d0000000003,豊島区,,豊島区 
62,  AED設置箇所一覧  豊島区が公開しているデータ（オープンデータ）をご覧いただけます。 ,/dataset/t131164d0000000001,豊島区,,豊島区 
63,  避難場所  このデータセットには説明がありません ,/dataset/t131067d0000000106,台東区,危機管理室危機・災害対策課,台東区 危機管理室危機・災害対策課
64,  東京都地域防災計画　震災編（平成26年修正）別冊資料  【東京都総務局】 ,/dataset/t000003d1700000030,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
65,  三宅島噴火災害誌 資料編_資料2 平成18年版 管内概要 東京都三宅支庁  【東京都総務局】 ,/dataset/t000003d1700000021,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
66,  東京の防災プラン進捗レポート2017 【第2部】_全事業の進捗状況一覧  【東京都総務局】 ,/dataset/t000003d1700000062,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
67,  東京の防災プラン進捗レポート2017 【第2部】◆ 風水害対策(都内各地における風水害)_２　浸水・土砂災害対策の充実・強化  【東京都総務局】 ,/dataset/t000003d1700000061,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
68,  東京の防災プラン進捗レポート2017 【第2部】◆ 風水害対策(都内各地における風水害)_１　円滑な避難の実現  【東京都総務局】 ,/dataset/t000003d1700000060,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
69,  南海トラフ巨大地震等による東京の被害想定（平成25年5月14日公表）_第2部 地震動・津波浸水等の予測  【東京都総務局】 ,/dataset/t000003d1700000043,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
70,  南海トラフ巨大地震等による東京の被害想定（平成25年5月14日公表）_3 津波シミュレーションの結果（港湾・漁港・海岸等別  【東京都総務局】 ,/dataset/t000003d1700000047,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
71,  東京の防災プラン進捗レポート2017 【第2部】 ◆ 震災対策(島しょ地域における地震)_２　島しょ地域における備蓄・輸送体制の確保  【東京都総務局】 ,/dataset/t000003d1700000059,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
72,  東京の防災プラン進捗レポート2017 【第2部】◆ 震災対策（区部・多摩地域における地震）_10　迅速な復旧による早期生活再建  【東京都総務局】 ,/dataset/t000003d1700000058,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
73,  東京の防災プラン進捗レポート2017 【第2部】◆ 震災対策（区部・多摩地域における地震）_９　公助による救出救助活動の展開  【東京都総務局】 ,/dataset/t000003d1700000057,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
74,  東京の防災プラン進捗レポート2017 【第2部】◆ 震災対策（区部・多摩地域における地震）_８　発災後３日間の生活を可能にする飲料水や備蓄品の確保  【東京都総務局】 ,/dataset/t000003d1700000056,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
75,  東京の防災プラン進捗レポート2017 【第2部】◆ 震災対策（区部・多摩地域における地震）_７　円滑な避難所の開設・運営  【東京都総務局】 ,/dataset/t000003d1700000055,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
76,  東京の防災プラン進捗レポート2017 【第2部】◆ 震災対策（区部・多摩地域における地震）_６．　帰宅困難者による混乱防止  【東京都総務局】 ,/dataset/t000003d1700000054,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
77,  東京の防災プラン進捗レポート2017 【第2部】◆ 震災対策（区部・多摩地域における地震）_５　各種情報の的確な発信  【東京都総務局】 ,/dataset/t000003d1700000053,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
78,  東京の防災プラン進捗レポート2017 【第2部】◆ 震災対策（区部・多摩地域における地震）_４　安全で迅速な避難の実現  【東京都総務局】 ,/dataset/t000003d1700000052,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
79,  東京の防災プラン進捗レポート2017 【第2部】◆ 震災対策（区部・多摩地域における地震）_３　出火・延焼の抑制  【東京都総務局】 ,/dataset/t000003d1700000051,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
80,  東京の防災プラン進捗レポート2017 【第2部】◆ 震災対策（区部・多摩地域における地震）_２　住民による救出活動の展開  【東京都総務局】 ,/dataset/t000003d1700000050,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
81,  東京の防災プラン進捗レポート2017 【第2部】◆ 震災対策（区部・多摩地域における地震）_１　建物の耐震化、更新等  【東京都総務局】 ,/dataset/t000003d1700000049,東京都総務局,総合防災部防災計画課,東京都総務局 総合防災部防災計画課
82,  南海トラフ巨大地震等による東京の被害想定（平成25年5月14日公表）_第3部 被害想定手法  【東京都総務局】 ,/dataset/t000003d1700000044,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
83,  南海トラフ巨大地震等による東京の被害想定（平成25年5月14日公表）_第1部 被害想定結果  【東京都総務局】 ,/dataset/t000003d1700000042,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
84,  地震対策_島しょごとの地震津波状況  【東京都総務局】 ,/dataset/t000003d1700000041,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
85,  都政のBCP（東京都事業継続計画）＜地震編＞の計画書本文  【東京都総務局】 ,/dataset/t000003d1700000040,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
86,  東京都消防広域化推進計画  【東京都総務局】平成20年3月に策定した、東京都消防広域化推進計画のデータです。 ,/dataset/t000003d1700000039,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
87,  東京都国民保護計画_本編  【東京都総務局】 ,/dataset/t000003d1700000038,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
88,  東京都震災対策事業計画_事業費一覧  【東京都総務局】 ,/dataset/t000003d1700000037,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
89,  地域防災計画 火山編_資料編  【東京都総務局】 ,/dataset/t000003d1700000036,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
90,  地域防災計画 大規模事故編_資料編  【東京都総務局】 ,/dataset/t000003d1700000035,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
91,  平成12年（2000年）三宅島噴火災害誌 本編  【東京都総務局】 ,/dataset/t000003d1700000020,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
92,  地域防災計画 大規模事故編_本冊  【東京都総務局】 ,/dataset/t000003d1700000034,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
93,  地域防災計画 火山編_本冊  【東京都総務局】 ,/dataset/t000003d1700000033,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
94,  東京都地域防災計画　風水害編　別冊資料  【東京都総務局】 ,/dataset/t000003d1700000032,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
95,  東京都地域防災計画 風水害編（平成26年修正）本文  【東京都総務局】 ,/dataset/t000003d1700000031,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
96,  三宅島噴火災害誌 資料編_資料47 三宅島緑化マニュアル  【東京都総務局】 ,/dataset/t000003d1700000029,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
97,  三宅島噴火災害誌 資料編_資料35 帰島・生活再開の手引き（三宅村村民用帰島マニュアル）  【東京都総務局】 ,/dataset/t000003d1700000028,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
98,  三宅島噴火災害誌 資料編_資料33 三宅島民帰島前健康診断に関する検討会報告書  【東京都総務局】 ,/dataset/t000003d1700000027,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
99,  三宅島噴火災害誌 資料編_資料24 帰島に関する意向調査結果  【東京都総務局】 ,/dataset/t000003d1700000026,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
100,  三宅島噴火災害誌 資料編_資料21 三宅島火山ガスに関する検討会最終報告  【東京都総務局】 ,/dataset/t000003d1700000025,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
101,  三宅島噴火災害誌 資料編_資料15 都税の申告・納付期限延長等のお知らせ  【東京都総務局】 ,/dataset/t000003d1700000024,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
102,  三宅島噴火災害誌 資料編_資料14 東京消防庁航空隊の活動状況  【東京都総務局】 ,/dataset/t000003d1700000023,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
103,  東京都地域防災計画　風水害編　別冊資料  【東京都総務局】 ,/dataset/t000003d1700000019,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
104,  被災地域への支援について各種支援班の派遣状況（平成24年度）  【東京都総務局】　東日本大震災に伴う被災地域への支援について、東京都が実施している各種支援班の派遣状況等 ,/dataset/t000003d0000000008,東京都総務局,復興支援対策部被災地支援課,東京都総務局 復興支援対策部被災地支援課
105,  避難所一覧  【清瀬市】避難所の一覧です。 ,/dataset/t132217d0000000044,清瀬市,清瀬市総務部防災防犯課,清瀬市 清瀬市総務部防災防犯課
106,  応急給水拠点一覧  【清瀬市】応急給水拠点の一覧です。 ,/dataset/t132217d0000000043,清瀬市,清瀬市総務部防災防犯課,清瀬市 清瀬市総務部防災防犯課
107,  消防水利施設一覧  【清瀬市】消防水利施設の一覧です。 ,/dataset/t132217d0000000011,清瀬市,清瀬市総務部防災防犯課,清瀬市 清瀬市総務部防災防犯課
108,  消防署一覧  【清瀬市】消防署の一覧です。 ,/dataset/t132217d0000000023,清瀬市,清瀬市総務部防災防犯課,清瀬市 清瀬市総務部防災防犯課
109,  新宿区の避難所情報  【新宿区】避難所情報です。 ,/dataset/t131041d0000000055,新宿区,危機管理担当部 危機管理課,新宿区 危機管理担当部 危機管理課
110,  避難所  避難所の位置情報 ,/dataset/t131091d0000000001,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
111,  避難拠点  【練馬区】練馬区立の小・中学校、98校です。避難拠点は、震度5弱以上の地震が起きて、学校の建物が安全な場合に、「避難拠点要員」により開設され、「避難拠点運営連絡会」の協力を得ながら、避難者の受け入れや在宅避難者への支援を行います。 ,/dataset/t131202d0000000024,練馬区,危機管理室区民防災課,練馬区 危機管理室区民防災課
112,  帰宅支援ステーション  【練馬区】災害時に、帰宅困難者に対して、一時的な滞在場所や、水・トイレなどを提供する施設の一覧です。 ,/dataset/t131202d0000000025,練馬区,危機管理室防災計画課,練馬区 危機管理室防災計画課
113,  防災用品販売あっせん  防災用品販売あっせんの品目例 ,/dataset/t131091d0000000156,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
114,  見舞金  見舞金の金額 ,/dataset/t131091d0000000155,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
115,  一時滞在施設一覧  一時滞在施設一覧 ,/dataset/t131091d0000000154,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
116,  地区内残留地区  地区内残留地区 ,/dataset/t131091d0000000153,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
117,  広域避難場所  広域避難場所 ,/dataset/t131091d0000000152,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
118,  大井地区の一時集合場所  大井地区の一時集合場所一覧 ,/dataset/t131091d0000000151,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
119,  品川地区の一時集合場所  品川地区の一時集合場所一覧 ,/dataset/t131091d0000000150,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
120,  荏原地区の一時集合場所  荏原地区の一時集合場所一覧 ,/dataset/t131091d0000000149,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
121,  大崎地区の一時集合場所  大崎地区の一時集合場所一覧 ,/dataset/t131091d0000000148,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
122,  荏原地区避難所  荏原地区の避難所一覧 ,/dataset/t131091d0000000147,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
123,  八潮地区避難所  八潮地区の避難所一覧 ,/dataset/t131091d0000000146,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
124,  大崎地区避難所  大崎地区の避難所一覧 ,/dataset/t131091d0000000145,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
125,  大井地区避難所  大井地区の避難所一覧 ,/dataset/t131091d0000000144,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
126,  品川地区避難所  品川地区の避難所一覧 ,/dataset/t131091d0000000143,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
127,  警戒レベル  警戒レベルを付した避難情報 ,/dataset/t131091d0000000142,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
128,  避難情報発令基準  風水害における避難情報の発令基準 ,/dataset/t131091d0000000141,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
129,  水防用土のう置場一覧  土のう置場箇所及び数量表 ,/dataset/t131091d0000000122,品川区,防災まちづくり部道路課,品川区 防災まちづくり部道路課
130,  耐震化の現状と目標  耐震化の現状と目標 ,/dataset/t131091d0000000080,品川区,都市環境部建築課,品川区 都市環境部建築課
131,  耐震化支援事業一覧  耐震化支援事業一覧 ,/dataset/t131091d0000000079,品川区,都市環境部建築課,品川区 都市環境部建築課
132,  保育園・幼稚園の放射線量  保育園・幼稚園の放射線量 ,/dataset/t131091d0000000057,品川区,子ども未来部保育課,品川区 子ども未来部保育課
133,  区立学校の放射線量  区立学校の放射線量の測定年月日・測定結果 ,/dataset/t131091d0000000025,品川区,教育委員会事務局庶務課,品川区 教育委員会事務局庶務課
134,"  新防火指定情報  新防火指定情報(zip形式で4形式(dbf,pri,shp,zip)1セットでの公開) ",/dataset/t131091d0000000127,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
135,  避難道路  避難道路の位置情報 ,/dataset/t131091d0000000139,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
136,  防火水槽  防火水槽の位置情報 ,/dataset/t131091d0000000140,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
137,  災害時等の避難所・広域避難場所  災害時等の避難所・広域避難場所の情報 ,/dataset/t131091d0000000138,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
138,  二次避難所  二次避難所の位置情報 ,/dataset/t131091d0000000137,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
139,  消防署  消防署の位置情報 ,/dataset/t131091d0000000134,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
140,  消防出張所  消防出張所の位置情報 ,/dataset/t131091d0000000133,品川区,防災まちづくり部防災課,品川区 防災まちづくり部防災課
